,cv_train_mean,cv_train_std,cv_test_mean,cv_test_std
4,0.981578281093056,0.09793463848269945,1.121196171224835,0.9494299790579076
5,0.37686789091136796,0.014554989777429906,0.528715085857478,0.45561039846852697
7,0.2904675751580542,0.022609900030205063,0.40636715595914935,0.24463905456706042
8,0.3380128420022422,0.038286813045979556,0.38636999538358435,0.25682201150293166
15,1.8219862179478787,0.11908466842511665,1.0370385947644531,0.8484326871654465
16,0.5371036251018866,0.015283990927250978,0.7016046872820335,0.47769171049930553
17,1.2418991462205549,0.029076439245617865,1.4834991433630276,1.4203276329266323
18,0.8822509263077126,0.031880517681086726,1.2330815440255438,1.1395350409859026
19,1.0416455443601225,0.05035517428341415,1.3004759839238853,1.3014717627155263
20,1.5174804849022858,0.044714925609111014,1.3414495307573788,1.3658072399394392
21,1.2520910124493518,0.026841052659278435,1.2595496440175242,1.1236351075869146
23,0.4979899779691216,0.02771803013685811,0.6781373797913723,0.4068860238660798
24,0.6576830437642374,0.0410327701021536,0.32768964558967667,0.12756605551230368
27,6.68587177676403,1.501570476379028,7.590291695330234,7.546148604234635
29,2.791725529890464,0.34843032917376926,5.98861560265357,6.470229732731094
30,0.9959369538124397,0.045262495695768255,0.6889369078759974,0.49556982520395326
31,0.750241547956119,0.041227159162810785,0.64233917508072,0.46107626702112275
38,1.5636183435379156,0.32206501734355386,1.2952002851930864,1.003710161221977
44,2.26597902576066,0.20704772189747908,3.5105385881331124,5.6045472534903205
45,0.5832689584076135,0.044603814679845,1.032748445740282,1.421709102037292
49,3.8996436529149534,0.9034576552483502,2.2694068562899647,1.8120711958823594
51,2.442417702523555,0.2912344332040262,7.8871140754286575,5.700921785859477
52,1.0423396052657985,0.18167147477931225,1.357445875600973,1.7046858069823414
53,0.3627395033067602,0.0230835944446651,0.6244571631201696,0.46126436207662774
54,1.0899113929118278,0.05823180937857568,0.968053341232849,0.8245637877466567
56,0.6797767469711893,0.039600674568996505,0.7625835817915452,0.6365973051382768
59,0.4531366853759833,0.03884168470412238,0.6552337261448833,0.5407106409776009
60,0.4757819097179615,0.041883534485722566,0.7006157854889791,0.6374853456759981
61,2.734452230502746,0.5321687189606328,7.119322911225844,6.918602713090089
62,0.6363853117066561,0.10666774173334023,0.8939010442580859,1.0124846180798155
63,0.5669006674573747,0.08032973047984059,1.2469223192945722,1.4720941397739447
64,0.7255881625348163,0.10331244427886983,1.550084389693932,1.9598720963420044
69,6.476695581059221,0.5847814332946292,7.913665600481399,6.952912010869645
70,1.0589705660171513,0.05704848090723141,1.39372412999542,1.1959240255663084
71,1.42323270065333,0.0903933871487115,1.610732902981848,0.9829385651637135
75,0.7505469140919525,0.14115807215175186,0.7779707062008674,0.8671682278283588
76,1.6279819553310406,0.301617417837042,1.1871217931089812,0.8852270260981894
86,5.220671281770931,0.4896640470127295,5.245425721628005,3.034201051850304
87,1.0265340261891196,0.07496183219185308,1.729998132992056,2.0151660074231685
90,2.1518763297014547,0.1941107615888377,1.3362348112390356,0.8630236330486083
91,2.7558112647533584,0.23671114589628015,1.4393683775090882,0.6139535617248916
92,3.940926349691692,0.7451408904623088,4.3768370658899505,4.13915668311461
101,3.092161791365004,0.5003379284441862,3.0966199963658942,2.976170082724834
104,0.6570412290718743,0.023528215146654558,1.017121933812071,0.587771883097444
105,0.8106663591711671,0.05389451639584525,0.7692600405703836,0.4132515766607508
107,2.6301281084287944,0.3627178825795405,4.581115171924111,4.348922318549479
109,1.0225966590087707,0.09753207476376395,1.0325535463467739,0.8112683203211365
114,0.40452234495818473,0.03307028126482696,0.6034210363239773,0.4553122469111967
115,0.8851457091140993,0.06714397389441548,1.8525138637660734,2.2567194692597705
117,0.9809828581979655,0.044838079770540024,0.545458902206321,0.31092487822070414
118,1.9682823820401023,0.0955876314756165,1.2493521739956706,1.0742699037204093
120,0.436942864338576,0.03794894391571423,0.9003112130038791,0.46687954994674313
123,3.7781904953535914,0.5974127519057492,3.7675426620296504,2.659986947198658
125,0.8836219332665521,0.06060964685652378,1.2909158995627867,1.0833573420721259
130,0.5401395762048071,0.08361741068867763,0.3911282353101466,0.2471956070644562
131,0.5893504813750902,0.07437556903265348,0.9856353489406471,0.8346443511168289
136,1.540290874039222,0.12972472716407493,3.7399868265250418,4.071204476596273
137,0.990026718332147,0.07170980417856081,2.065614184857346,1.6537359959950875
total,1.5487260280867574,1.4557780146392514,1.9567002863635314,3.2507722363017355
